paper_title,DOI,year,Provenance,Ref,Feedstock,Family_std,C_feed_wt_pct,H_feed_wt_pct,O_feed_wt_pct,N_feed_wt_pct,S_feed_wt_pct,Ash_feed_wt_pct,Lignin_feed_wt_pct,Cellulose_feed_wt_pct,Hemicellulose_feed_wt_pct,Extractives_feed_wt_pct,LCH_total_wt_pct,Lignin_share_pct,Holo_share_pct,Lignin_from_LCH_wt_pct,Cellulose_from_LCH_wt_pct,Hemicellulose_from_LCH_wt_pct,Moisture_min_wt_pct_ar,Moisture_max_wt_pct_ar,O_C_feed_molar,H_C_feed_molar,HHV_feed_MJ_per_kg,LRI,LRI_imputed,sum_LCH_wt_pct,sum_CHONSAsh_wt_pct,sum_CHONS_wt_pct,LCH_closure_flag,process_type,process_subtype,reactor,atmosphere,solvent_or_medium,T_reaction_C,t_residence_min,t_ramp_min,IC_feed_wt_pct_slurry,pressure_reaction_MPa,heating_rate_C_per_min,stirring_rpm,water_biomass_ratio_kg_kg,catalyst,cat_biomass_ratio_kg_kg,yield_basis,separation_method,Yield_biooil_wt_pct,Yield_char_wt_pct,Yield_aqueous_wt_pct,Yield_gas_wt_pct,Yield_gas_water_wt_pct,Energy_yield_biooil_pct,Energy_yield_char_pct,Carbon_yield_biooil_pct,Carbon_yield_char_pct,HHV_biooil_MJ_per_kg,C_biooil_wt_pct,H_biooil_wt_pct,O_biooil_wt_pct,N_biooil_wt_pct,S_biooil_wt_pct,O_C_biooil_molar,H_C_biooil_molar,HHV_char_MJ_per_kg,C_char_wt_pct,H_char_wt_pct,O_char_wt_pct,N_char_wt_pct,S_char_wt_pct,O_C_char_molar,H_C_char_molar,LCH_total_imputed_wt_pct,Lignin_share_imputed_pct,C_Note,C_method,O/C_Note,OC_method,H/C_Note,HC_method,t_note,HHV_feedstock_method,HHV_feedstock_imputed,HHV_biooil_method,HHV_biochar_method,S_method,S_biooil_method,S_biochar_method,Lignin_method,Lignin_imputed,cellulose_method,cellulose_imputed,hemicellulose_method,hemicellulose_imputed,Ash_method,Ash_imputed,LRI_imputed_source,LCH_total_imputed_source,Lignin_share_imputed_source
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,5 bar O2 (no H2O2),Water/Ethanol (1:1 mass ratio),120.0,30.0,,10.0,autogenic,5.0,,10.0,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,69.0,26.4,,4.6,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 + 0.25 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,30.0,,9.73,autogenic,5.0,,10.277,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,70.6,25.2,,4.2,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 + 0.5 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,30.0,,9.47,autogenic,5.0,,10.56,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,72.0,23.4,,4.6,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 + 1.0 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,30.0,,9.0,autogenic,5.0,,11.111,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,80.0,6.6,,13.4,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 + 1.5 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,30.0,,8.57,autogenic,5.0,,11.669,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,78.6,7.7,,13.8,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 + 3.0 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,30.0,,7.5,autogenic,5.0,,13.333,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,73.5,21.2,,5.3,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 + 5.0 mL 30% H2O2 (tar‐rich),Water/Ethanol (1:1 mass ratio),120.0,30.0,,6.43,autogenic,5.0,,15.552,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,48.0,16.3,,35.7,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Nonisothermal Catalytic Liquefaction of Corn Stalk in Subcritical and Supercritical Water,https://doi.org/10.1021/ef0300141,2004,primary; Table 4,Song_2004_EnergyFuels,Corn stalk,Agricultural Residues,43.83,5.75,48.94,0.97,0.13,7.44,15.59,22.82,43.01,18.58,81.41999999999999,0.1914762957504299,0.8085237042495701,,,,,,0.8374401095140315,1.5742642026009583,14.31,0.49,0.49,81.41999999999999,107.06,99.62,OK,Hydrothermal,HTC,Semicontinuous fixed-bed; water @25 MPa; 3 mL/min; oven heated,autogenic (pressurized water),Water,129.85000000000002,38.5,,12.98701298701298,25 MPa (fixed); water 3 mL/min; nonisothermal 10 K/min,10.0,,7.7,none,0.0,wt% of dry feedstock,,,,,,,,,,,,40.54,5.4,52.54,1.52,0.0,0.973,0.1332017760236803,,,,,,,,,81.41999999999999,0.1914762957504299,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,assumed_zero_closure,,,False,,False,,False,,False,formula,formula,formula
Nonisothermal Catalytic Liquefaction of Corn Stalk in Subcritical and Supercritical Water,https://doi.org/10.1021/ef0300141,2004,primary; Table 4,Song_2004_EnergyFuels,Corn stalk,Agricultural Residues,43.83,5.75,48.94,0.97,0.13,7.44,15.59,22.82,43.01,18.58,81.41999999999999,0.1914762957504299,0.8085237042495701,,,,,,0.8374401095140315,1.5742642026009583,14.31,0.49,0.49,81.41999999999999,107.06,99.62,OK,Hydrothermal,HTC,Semicontinuous fixed-bed; water @25 MPa; 3 mL/min; oven heated,autogenic (pressurized water),Water,129.85000000000002,38.5,,12.98701298701298,25 MPa (fixed); water 3 mL/min; nonisothermal 10 K/min,10.0,,7.7,Na2CO3,0.01,wt% of dry feedstock,,,,,,,,,,,,22.04,3.35,73.23,1.38,0.0,2.494,0.1519963702359346,,,,,,,,,81.41999999999999,0.1914762957504299,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,assumed_zero_closure,,,False,,False,,False,,False,formula,formula,formula
Hydrothermal carbonization of lignocellulosic biomass for carbon rich material preparation: A review,10.1016/j.biombioe.2019.105384,2019,Hydrothermal carbonization of oil palm pressed fiber: Effect of reaction parameters Ref [91],Ref [91],Oil palm pressed fiber (OPPF),Agricultural Residues,48.2,6.1,38.3,1.3,0.2,5.9,23.89,42.25639818731828,25.180446345972182,,91.32684453329047,0.2615879276469649,0.7384120723530351,,,,,,0.595954356846473,1.5186721991701244,18.22,0.608,0.608,91.32684453329048,100.0,94.1,OK,Hydrothermal,HTC,,,Water,140.0,180.0,,10.0,autogenic,,,10.0,none,0.0,wt% of dry feedstock,,,78.4,,,,,16.464000000000002,,0.392,,,,,,,,,21.0,50.0,6.42,37.7,1.24,0.17,0.566,1.53,91.32684453329047,0.2615879276469649,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,reported,Literature: Efficient lignin extraction from oil palm empty fruit bunches using guanidine-based deep eutectic solvents under microwave assistance; Industrial Crops & Products (2024) 209:118968; DOI: 10.1016/j.indcrop.2024.118968,True,"Feedstock_DB_mean (Soybean straw, n=288)",True,"Feedstock_DB_mean (Soybean straw, n=288)",True,,False,formula,formula,formula
