DOI,Paper_Title,Provenance,Ref,Process_type,Process_subtype,Feedstock,Family,Tier,T,t,IC,Pressure,Solvent_or_medium,Reactor,Separation_method,Yield_basis,Catalyst,Catalyst_Biomass_ratio,Heating_rate,Stirring_velocity,Water_Biomass_ratio,Lignin,Cellulose_pct,Hemicellulose_pct,Extractives_pct,atmosphere,C,H,O,N,S,Ash,O/C,H/C,HHV_input,B_Y,C_Y,A_Y,G_Y,GW_Y,E_B,E_H,C_B,C_H,HHV_biooil,C_biooil,H_biooil,O_biooil,N_biooil,S_biooil,HHV_biochar,C_biochar,H_biochar,O_biochar,N_biochar,S_biochar,Moisture_min,Moisture_max,Lignin_Rich,extra
10.1016/j.fuproc.2018.06.018,Biobased chemicals from the catalytic depolymerization of Kraft lignin using supported noble metal-based catalysts,"Table 2 (yields, balances, oil composition)",Hita_2018_KL_noble_metals,Hydrothermal,Hydrotreatment,Indulin AT Kraft lignin,Pure lignin,Experimental,450.0,240.0,,"100 bar H2 (initial), batch; >100 bar autogenic at 450°C",Neat lignin (no solvent); H2 gas,"100 mL Parr autoclave, Rushton turbine",Decantation + DCM and acetone wash; phase separation as in Fig. 1,wt% on lignin intake,Ru/C,0.05,10.0,1200.0,,88.8,,,,"H2, 100 bar initial, stirred 1200 rpm",62.2,6.0,29.8,0.75,1.2,2.02,0.36,1.149,,31.7,19.4,20.9,15.0,,,,0.259306,,,81.8,8.1,9.7,0.3,0.01,,,,,,,,,True,"{""label"": ""Hita_2018_KL_noble_metals | Ru/C"", ""notes"": ""Hydrotreatment at 450°C, 4 h, 100 bar H2 initial; organic phase = lignin oil + DCM + acetone solubles."", ""provenance"": {""doi"": ""10.1016/j.fuproc.2018.06.018"", ""source"": [""Table 2 (product yields, mass & C balances, oil elemental)""], ""role"": ""run""}, ""organic_phase_yield_pct"": 36.2, ""mass_balance_pct"": 91.6, ""carbon_balance_pct"": 90.8, ""lignin_oil_yield_pct"": 31.7, ""DCM_solubles_yield_pct"": 4.2, ""acetone_solubles_yield_pct"": 0.3, ""QA"": {""biooil_elem_sum_pct"": 99.91, ""mass_closure_sum_pct"": 87.0, ""Unassigned_or_over_pct"": 13.0}}"
10.1016/j.fuproc.2018.06.018,Biobased chemicals from the catalytic depolymerization of Kraft lignin using supported noble metal-based catalysts,"Table 2 (yields, balances, oil composition)",Hita_2018_KL_noble_metals,Hydrothermal,Hydrotreatment,Indulin AT Kraft lignin,Pure lignin,Experimental,450.0,240.0,,"100 bar H2 (initial), batch; >100 bar autogenic at 450°C",Neat lignin (no solvent); H2 gas,"100 mL Parr autoclave, Rushton turbine",Decantation + DCM and acetone wash; phase separation as in Fig. 1,wt% on lignin intake,Ru/Al2O3,0.05,10.0,1200.0,,88.8,,,,"H2, 100 bar initial, stirred 1200 rpm",62.2,6.0,29.8,0.75,1.2,2.02,0.36,1.149,,26.5,25.6,21.3,13.5,,,,0.2173,,,82.0,7.6,9.6,0.6,0.1,,,,,,,,,True,"{""label"": ""Hita_2018_KL_noble_metals | Ru/Al2O3"", ""notes"": ""Hydrotreatment at 450°C, 4 h, 100 bar H2 initial; organic phase = lignin oil + DCM + acetone solubles."", ""provenance"": {""doi"": ""10.1016/j.fuproc.2018.06.018"", ""source"": [""Table 2 (product yields, mass & C balances, oil elemental)""], ""role"": ""run""}, ""organic_phase_yield_pct"": 30.4, ""mass_balance_pct"": 90.7, ""carbon_balance_pct"": 86.9, ""lignin_oil_yield_pct"": 26.5, ""DCM_solubles_yield_pct"": 3.6, ""acetone_solubles_yield_pct"": 0.3, ""QA"": {""biooil_elem_sum_pct"": 99.9, ""mass_closure_sum_pct"": 86.9, ""Unassigned_or_over_pct"": 13.1}}"
10.1016/j.fuproc.2018.06.018,Biobased chemicals from the catalytic depolymerization of Kraft lignin using supported noble metal-based catalysts,"Table 2 (yields, balances, oil composition)",Hita_2018_KL_noble_metals,Hydrothermal,Hydrotreatment,Indulin AT Kraft lignin,Pure lignin,Experimental,450.0,240.0,,"100 bar H2 (initial), batch; >100 bar autogenic at 450°C",Neat lignin (no solvent); H2 gas,"100 mL Parr autoclave, Rushton turbine",Decantation + DCM and acetone wash; phase separation as in Fig. 1,wt% on lignin intake,Pt/C,0.05,10.0,1200.0,,88.8,,,,"H2, 100 bar initial, stirred 1200 rpm",62.2,6.0,29.8,0.75,1.2,2.02,0.36,1.149,,21.5,32.8,20.1,12.3,,,,0.17243,,,80.2,7.8,11.2,0.7,0.15,,,,,,,,,True,"{""label"": ""Hita_2018_KL_noble_metals | Pt/C"", ""notes"": ""Hydrotreatment at 450°C, 4 h, 100 bar H2 initial; organic phase = lignin oil + DCM + acetone solubles."", ""provenance"": {""doi"": ""10.1016/j.fuproc.2018.06.018"", ""source"": [""Table 2 (product yields, mass & C balances, oil elemental)""], ""role"": ""run""}, ""organic_phase_yield_pct"": 26.3, ""mass_balance_pct"": 91.5, ""carbon_balance_pct"": 96.2, ""lignin_oil_yield_pct"": 21.5, ""DCM_solubles_yield_pct"": 4.6, ""acetone_solubles_yield_pct"": 0.2, ""QA"": {""biooil_elem_sum_pct"": 100.05, ""mass_closure_sum_pct"": 86.7, ""Unassigned_or_over_pct"": 13.3}}"
10.1016/j.fuproc.2018.06.018,Biobased chemicals from the catalytic depolymerization of Kraft lignin using supported noble metal-based catalysts,"Table 2 (yields, balances, oil composition)",Hita_2018_KL_noble_metals,Hydrothermal,Hydrotreatment,Indulin AT Kraft lignin,Pure lignin,Experimental,450.0,240.0,,"100 bar H2 (initial), batch; >100 bar autogenic at 450°C",Neat lignin (no solvent); H2 gas,"100 mL Parr autoclave, Rushton turbine",Decantation + DCM and acetone wash; phase separation as in Fig. 1,wt% on lignin intake,Pt/Al2O3,0.05,10.0,1200.0,,88.8,,,,"H2, 100 bar initial, stirred 1200 rpm",62.2,6.0,29.8,0.75,1.2,2.02,0.36,1.149,,35.2,17.5,21.0,14.4,,,,0.28758400000000006,,,81.7,7.4,10.1,0.7,0.05,,,,,,,,,True,"{""label"": ""Hita_2018_KL_noble_metals | Pt/Al2O3"", ""notes"": ""Hydrotreatment at 450°C, 4 h, 100 bar H2 initial; organic phase = lignin oil + DCM + acetone solubles."", ""provenance"": {""doi"": ""10.1016/j.fuproc.2018.06.018"", ""source"": [""Table 2 (product yields, mass & C balances, oil elemental)""], ""role"": ""run""}, ""organic_phase_yield_pct"": 40.3, ""mass_balance_pct"": 93.5, ""carbon_balance_pct"": 89.1, ""lignin_oil_yield_pct"": 35.2, ""DCM_solubles_yield_pct"": 4.6, ""acetone_solubles_yield_pct"": 0.5, ""QA"": {""biooil_elem_sum_pct"": 99.95, ""mass_closure_sum_pct"": 88.1, ""Unassigned_or_over_pct"": 11.9}}"
10.1016/j.fuproc.2018.06.018,Biobased chemicals from the catalytic depolymerization of Kraft lignin using supported noble metal-based catalysts,"Table 2 (yields, balances, oil composition)",Hita_2018_KL_noble_metals,Hydrothermal,Hydrotreatment,Indulin AT Kraft lignin,Pure lignin,Experimental,450.0,240.0,,"100 bar H2 (initial), batch; >100 bar autogenic at 450°C",Neat lignin (no solvent); H2 gas,"100 mL Parr autoclave, Rushton turbine",Decantation + DCM and acetone wash; phase separation as in Fig. 1,wt% on lignin intake,Pd/C,0.05,10.0,1200.0,,88.8,,,,"H2, 100 bar initial, stirred 1200 rpm",62.2,6.0,29.8,0.75,1.2,2.02,0.36,1.149,,25.1,25.8,21.4,13.3,,,,0.199294,,,79.4,7.6,12.2,0.7,0.01,,,,,,,,,True,"{""label"": ""Hita_2018_KL_noble_metals | Pd/C"", ""notes"": ""Hydrotreatment at 450°C, 4 h, 100 bar H2 initial; organic phase = lignin oil + DCM + acetone solubles."", ""provenance"": {""doi"": ""10.1016/j.fuproc.2018.06.018"", ""source"": [""Table 2 (product yields, mass & C balances, oil elemental)""], ""role"": ""run""}, ""organic_phase_yield_pct"": 29.7, ""mass_balance_pct"": 90.3, ""carbon_balance_pct"": 87.9, ""lignin_oil_yield_pct"": 25.1, ""DCM_solubles_yield_pct"": 4.3, ""acetone_solubles_yield_pct"": 0.3, ""QA"": {""biooil_elem_sum_pct"": 99.91, ""mass_closure_sum_pct"": 85.6, ""Unassigned_or_over_pct"": 14.4}}"
10.1016/j.fuproc.2018.06.018,Biobased chemicals from the catalytic depolymerization of Kraft lignin using supported noble metal-based catalysts,"Table 2 (yields, balances, oil composition)",Hita_2018_KL_noble_metals,Hydrothermal,Hydrotreatment,Indulin AT Kraft lignin,Pure lignin,Experimental,450.0,240.0,,"100 bar H2 (initial), batch; >100 bar autogenic at 450°C",Neat lignin (no solvent); H2 gas,"100 mL Parr autoclave, Rushton turbine",Decantation + DCM and acetone wash; phase separation as in Fig. 1,wt% on lignin intake,Pd/Al2O3,0.05,10.0,1200.0,,88.8,,,,"H2, 100 bar initial, stirred 1200 rpm",62.2,6.0,29.8,0.75,1.2,2.02,0.36,1.149,,33.3,20.6,20.1,15.2,,,,0.26573399999999997,,,79.8,7.5,12.0,0.6,0.06,,,,,,,,,True,"{""label"": ""Hita_2018_KL_noble_metals | Pd/Al2O3"", ""notes"": ""Hydrotreatment at 450°C, 4 h, 100 bar H2 initial; organic phase = lignin oil + DCM + acetone solubles."", ""provenance"": {""doi"": ""10.1016/j.fuproc.2018.06.018"", ""source"": [""Table 2 (product yields, mass & C balances, oil elemental)""], ""role"": ""run""}, ""organic_phase_yield_pct"": 37.5, ""mass_balance_pct"": 93.4, ""carbon_balance_pct"": 90.2, ""lignin_oil_yield_pct"": 33.3, ""DCM_solubles_yield_pct"": 3.8, ""acetone_solubles_yield_pct"": 0.4, ""QA"": {""biooil_elem_sum_pct"": 99.96, ""mass_closure_sum_pct"": 89.2, ""Unassigned_or_over_pct"": 10.8}}"
10.1016/j.fuproc.2018.06.018,Biobased chemicals from the catalytic depolymerization of Kraft lignin using supported noble metal-based catalysts,"Table 2 (yields, balances, oil composition)",Hita_2018_KL_noble_metals,Hydrothermal,Hydrotreatment,Indulin AT Kraft lignin,Pure lignin,Experimental,450.0,240.0,,"100 bar H2 (initial), batch; >100 bar autogenic at 450°C",Neat lignin (no solvent); H2 gas,"100 mL Parr autoclave, Rushton turbine",Decantation + DCM and acetone wash; phase separation as in Fig. 1,wt% on lignin intake,Rh/C,0.05,10.0,1200.0,,88.8,,,,"H2, 100 bar initial, stirred 1200 rpm",62.2,6.0,29.8,0.75,1.2,2.02,0.36,1.149,,33.8,17.7,22.0,14.6,,,,0.276146,,,81.7,7.8,9.7,0.7,0.07,,,,,,,,,True,"{""label"": ""Hita_2018_KL_noble_metals | Rh/C"", ""notes"": ""Hydrotreatment at 450°C, 4 h, 100 bar H2 initial; organic phase = lignin oil + DCM + acetone solubles."", ""provenance"": {""doi"": ""10.1016/j.fuproc.2018.06.018"", ""source"": [""Table 2 (product yields, mass & C balances, oil elemental)""], ""role"": ""run""}, ""organic_phase_yield_pct"": 39.2, ""mass_balance_pct"": 93.5, ""carbon_balance_pct"": 95.3, ""lignin_oil_yield_pct"": 33.8, ""DCM_solubles_yield_pct"": 4.8, ""acetone_solubles_yield_pct"": 0.6, ""QA"": {""biooil_elem_sum_pct"": 99.97, ""mass_closure_sum_pct"": 88.1, ""Unassigned_or_over_pct"": 11.9}}"
10.1016/j.fuproc.2018.06.018,Biobased chemicals from the catalytic depolymerization of Kraft lignin using supported noble metal-based catalysts,"Table 2 (yields, balances, oil composition)",Hita_2018_KL_noble_metals,Hydrothermal,Hydrotreatment,Indulin AT Kraft lignin,Pure lignin,Experimental,450.0,240.0,,"100 bar H2 (initial), batch; >100 bar autogenic at 450°C",Neat lignin (no solvent); H2 gas,"100 mL Parr autoclave, Rushton turbine",Decantation + DCM and acetone wash; phase separation as in Fig. 1,wt% on lignin intake,Rh/Al2O3,0.05,10.0,1200.0,,88.8,,,,"H2, 100 bar initial, stirred 1200 rpm",62.2,6.0,29.8,0.75,1.2,2.02,0.36,1.149,,36.3,16.5,20.5,14.5,,,,0.29511899999999996,,,81.3,7.5,10.5,0.7,0.01,,,,,,,,,True,"{""label"": ""Hita_2018_KL_noble_metals | Rh/Al2O3"", ""notes"": ""Hydrotreatment at 450°C, 4 h, 100 bar H2 initial; organic phase = lignin oil + DCM + acetone solubles."", ""provenance"": {""doi"": ""10.1016/j.fuproc.2018.06.018"", ""source"": [""Table 2 (product yields, mass & C balances, oil elemental)""], ""role"": ""run""}, ""organic_phase_yield_pct"": 41.5, ""mass_balance_pct"": 92.9, ""carbon_balance_pct"": 88.3, ""lignin_oil_yield_pct"": 36.3, ""DCM_solubles_yield_pct"": 5.0, ""acetone_solubles_yield_pct"": 0.2, ""QA"": {""biooil_elem_sum_pct"": 100.01, ""mass_closure_sum_pct"": 87.8, ""Unassigned_or_over_pct"": 12.2}}"
